DATE,CPP
1972-09-01,237
1972-10-01,236.4
1972-11-01,235.8
1972-12-01,235.2
1973-01-01,234.3
1973-02-01,232.8
1973-03-01,230.4
1973-04-01,228.9
1973-05-01,227.5
1973-06-01,226
1973-07-01,225.7
1973-08-01,221.5
1973-09-01,220.9
1973-10-01,219.1
1973-11-01,217.6
1973-12-01,216.1
1974-01-01,214.3
1974-02-01,211.6
1974-03-01,209.2
1974-04-01,208
1974-05-01,205.6
1974-06-01,203.8
1974-07-01,202.3
1974-08-01,199.6
1974-09-01,197.2
1974-10-01,195.7
1974-11-01,193.9
1974-12-01,192.7
1975-01-01,191.8
1975-02-01,190.3
1975-03-01,189.7
1975-04-01,188.8
1975-05-01,187.9
1975-06-01,186.4
1975-07-01,184.4
1975-08-01,183.8
1975-09-01,182.9
1975-10-01,182
1975-11-01,180.8
1975-12-01,179.9
1976-01-01,179.6
1976-02-01,179
1976-03-01,178.7
1976-04-01,178.1
1976-05-01,176.9
1976-06-01,176
1976-07-01,174.8
1976-08-01,174.2
1976-09-01,173.3
1976-10-01,172.7
1976-11-01,172.1
1976-12-01,171.8
1977-01-01,170.6
1977-02-01,169.1
1977-03-01,167.9
1977-04-01,166.7
1977-05-01,165.8
1977-06-01,164.6
1977-07-01,164
1977-08-01,163.4
1977-09-01,162.5
1977-10-01,162.2
1977-11-01,161.3
1977-12-01,160.7
1978-01-01,159.8
1978-02-01,158.9
1978-03-01,157.7
1978-04-01,156.2
1978-05-01,154.7
1978-06-01,153.2
1978-07-01,152
1978-08-01,151.4
1978-09-01,150.2
1978-10-01,149
1978-11-01,148.1
1978-12-01,147.5
1979-01-01,146.3
1979-02-01,144.6
1979-03-01,143.1
1979-04-01,141.6
1979-05-01,139.8
1979-06-01,138.3
1979-07-01,136.8
1979-08-01,135.3
1979-09-01,134.1
1979-10-01,132.9
1979-11-01,131.7
1979-12-01,130.2
1980-01-01,128.4
1980-02-01,126.6
1980-03-01,124.8
1980-04-01,123.3
1980-05-01,122.1
1980-06-01,120.9
1980-07-01,120.9
1980-08-01,120
1980-09-01,118.8
1980-10-01,117.9
1980-11-01,116.7
