year,Number,Total_per_dist,per_under_15k,15k_to_25k,25k_to_35k,35k_to_50k,50k_to_75k,75k_to_100k,100k_to_150k,150k_to_200k,per_over_200k,Median_income_est,Margin of error,mean_income_est,Margin of error,Race
2021,"18,700",100,14.2,11.2,9.8,13.4,16,11.4,12,5.6,6.6,"52,640","1,793","77,130","2,026",black alone or combination
2020 2,"18,290",100,15.3,10.8,9.9,12.2,16.7,11,13,5,6.1,"52,700","1,421","77,680","2,076",black alone or combination
2019,"18,060",100,14.5,10.3,11.2,12.6,16.5,10.4,12.5,5.7,6.3,"52,480","1,308","77,360","2,186",black alone or combination
2018,"18,100",100,16.4,11.3,10.9,13,16.5,11.1,10.8,5.1,4.9,"48,190","1,059","68,620","1,542",black alone or combination
2017 3,"17,810",100,16.4,12.1,9.5,14.9,15.4,10.7,11.4,4.7,4.9,"47,150","1,333","68,830","1,538",black alone or combination
2017,"17,800",100,16.5,11.6,9.5,14.8,15.2,10.8,11.8,5,4.7,"47,870",972,"69,550","1,550",black alone or combination
2016,"17,510",100,16.8,11.6,10.1,13.9,16.1,10.8,11.5,4.7,4.5,"48,070","1,151","69,740","1,847",black alone or combination
2015,"17,320",100,17.8,12.4,10.1,13.9,15.8,10.3,10.9,5,3.8,"45,040","1,087","66,340","1,726",black alone or combination
2014,"17,200",100,18.6,12.8,10.7,14.4,16.2,9.2,10.2,4.3,3.6,"43,130",939,"62,440","1,379",black alone or combination
2013 4,"16,720",100,18.7,12,11.1,14.1,16.9,9.1,10.3,4.3,3.4,"43,880","1,570","63,390","2,670",black alone or combination
2013 5,"16,860",100,18.6,13.6,10.3,14.8,16.3,9.2,10.2,4,3.1,"42,660","1,413","60,980","1,758",black alone or combination
2012,"16,560",100,19.5,13.1,11.1,13.6,16.2,9.8,9.9,4,2.9,"41,870","1,630","59,800","1,507",black alone or combination
2011,"16,170",100,19.7,13.1,11.4,13.3,15.5,10.1,9.7,4.2,2.9,"40,960","1,151","60,130","1,609",black alone or combination
2010 6,"15,910",100,19.6,12.4,11.4,13.5,16.3,10.3,9.5,4.1,2.9,"41,960","1,009","59,370","1,346",black alone or combination
2009 7,"15,210",100,17.2,12.8,11.5,14.3,16.4,10.4,10.7,3.8,2.9,"43,320",910,"61,220","1,123",black alone or combination
2008,"15,060",100,17.2,11.5,11.8,14.4,17.4,10.2,10.5,4.2,3,"45,250",951,"61,500","1,058",black alone or combination
2007,"14,980",100,17.3,12.4,10,13.5,16.6,11.4,11.3,4.5,3.1,"46,560","1,045","63,960","1,150",black alone or combination
2006,"14,710",100,17.3,11.7,10.4,14.8,16.6,10.9,10.7,4.3,3.3,"45,010",548,"63,730","1,286",black alone or combination
2005,"14,400",100,18.2,12.2,11.1,12.9,17.7,10.3,10.8,3.9,3,"44,620",700,"61,590","1,103",black alone or combination
2004 8,"14,150",100,18.4,11.2,11.1,14.7,17,10.5,10.8,3.6,2.7,"44,850",676,"60,460","1,057",black alone or combination
2003,"13,970",100,17.3,13,10.4,14,16.4,11.1,10.8,4.2,2.8,"45,140",933,"61,300","1,068",black alone or combination
2002,"13,780",100,17.2,12.8,10.2,14.5,17.2,10,10.9,4,3.1,"45,290",980,"62,600","1,200",black alone or combination
2022,"18,080",100,13.7,9.9,10.3,12.6,18,11.4,11.9,6,6,"52,860","1,470","76,520","2,115",black alone
2021,"17,700",100,14.4,11.4,9.7,13.3,15.9,11.5,11.8,5.5,6.5,"52,080","1,810","76,450","2,095",black alone
2020 2,"17,320",100,15.5,11,10,12.2,16.7,10.9,12.7,5,6.1,"51,880","1,429","76,390","2,206",black alone
2019,"17,050",100,14.8,10.4,11.2,12.7,16.4,10.4,12.7,5.4,6,"51,750","1,380","75,800","2,144",black alone
2018,"17,170",100,16.7,11.4,10.7,13.2,16.4,11,10.7,5.1,4.8,"47,810","1,047","67,810","1,555",black alone
2017 3,"17,020",100,16.6,12.2,9.5,15,15.3,10.5,11.3,4.7,4.8,"46,420","1,645","68,420","1,592",black alone
2017,"17,000",100,16.8,11.8,9.5,14.8,15.3,10.6,11.5,5,4.7,"47,470","1,119","69,090","1,600",black alone
2016,"16,730",100,17.2,11.6,10.2,14,15.9,10.7,11.5,4.6,4.4,"47,380","1,423","68,930","1,840",black alone
2015,"16,540",100,18,12.5,10.2,14,15.6,10.3,10.9,4.9,3.7,"44,670","1,022","65,790","1,714",black alone
2014,"16,440",100,18.7,12.8,10.8,14.4,16.3,9.1,10.1,4.2,3.6,"42,820",917,"61,970","1,375",black alone
2013 4,"16,010",100,19.2,12.2,11.1,14.2,16.4,9.2,10.2,4.1,3.4,"43,340","1,729","61,900","2,391",black alone
2013 5,"16,110",100,18.7,13.6,10.3,14.8,16.2,9.3,10.1,3.9,3.1,"42,450","1,469","60,890","1,786",black alone
2012,"15,870",100,19.6,13.3,11.1,13.7,16.1,9.8,9.8,3.9,2.8,"41,370","1,614","59,270","1,538",black alone
2011,"15,580",100,19.8,13.2,11.4,13.3,15.5,10.1,9.7,4.2,2.8,"40,790","1,060","59,810","1,672",black alone
2010 6,"15,270",100,19.7,12.4,11.4,13.4,16.4,10.4,9.5,4,2.7,"41,920","1,071","58,670","1,344",black alone
2009 7,"14,730",100,17.3,12.8,11.5,14.3,16.4,10.3,10.8,3.8,2.8,"43,100",857,"60,910","1,142",black alone
2008,"14,600",100,17.3,11.5,11.8,14.3,17.4,10.2,10.4,4.2,3,"45,080",956,"61,310","1,079",black alone
2007,"14,550",100,17.3,12.3,10.1,13.5,16.6,11.4,11.2,4.5,3,"46,320","1,067","63,690","1,168",black alone
2006,"14,350",100,17.5,11.7,10.5,14.9,16.5,10.9,10.6,4.2,3.2,"44,780",555,"63,220","1,286",black alone
2005,"14,000",100,18.3,12.3,11,13,17.7,10.2,10.7,3.9,2.9,"44,480",714,"61,200","1,093",black alone
